No_Wj,Author,Title,Site,CUE,PFT,PFT,Latitude,longitude,tmp(℃),pre (mm),Substrate,Chemical formula,γs,Substrate,Substrate,Amount (ug),note,Incubation Time (day/h),Temperature(℃),Method,Other treatment,subtreatment,Soil horizon(cm),pH,C/N,CUE%,Error,Data location,Calculation method
16,,,,0.91 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,747.77 ,,6.10 ,,,,Fig2,Directly extracted
17,,,,0.91 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,1000.00 ,,6.10 ,,,,Fig2,Directly extracted
18,,,,0.97 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,Dystric Gleysol(soil type),substrate concentration: 14.792899408284,,5.80 ,,,,Fig2,Directly extracted
19,,,,0.95 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,26.63 ,,5.80 ,,,,Fig2,Directly extracted
20,,,,0.94 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,50.30 ,,5.80 ,,,,Fig2,Directly extracted
21,,,,0.94 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,73.96 ,,5.80 ,,,,Fig2,Directly extracted
22,,,,0.94 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,103.55 ,,5.80 ,,,,Fig2,Directly extracted
23,,,,0.96 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,251.48 ,,5.80 ,,,,Fig2,Directly extracted
24,,,,0.97 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,497.04 ,,5.80 ,,,,Fig2,Directly extracted
25,,,,0.95 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,748.52 ,,5.80 ,,,,Fig2,Directly extracted
26,,,,0.96 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucose,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,997.04 ,,5.80 ,,,,Fig2,Directly extracted
27,,,,0.95 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,8.88 ,,5.80 ,,,,Fig2,Directly extracted
28,,,,0.98 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,26.63 ,,5.80 ,,,,Fig2,Directly extracted
29,,,,0.97 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,47.34 ,,5.80 ,,,,Fig2,Directly extracted
30,,,,0.98 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,73.96 ,,5.80 ,,,,Fig2,Directly extracted
31,,,,0.98 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,97.63 ,,5.80 ,,,,Fig2,Directly extracted
32,,,,0.93 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,245.56 ,,5.80 ,,,,Fig2,Directly extracted
33,,,,0.95 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,500.00 ,,5.80 ,,,,Fig2,Directly extracted
34,,,,0.93 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,745.56 ,,5.80 ,,,,Fig2,Directly extracted
35,,,,0.95 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,,,24 h,10.00 ,,,994.08 ,,5.80 ,,,,Fig2,Directly extracted
36,,,,0.87 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,0.76 , glucosamine or glucose-C g-I soil (自己计算),24 h,1.00 ,Biomass-based methods,Eutric Cambisol(soil type),1 oC,,6.10 ,,,0.06 ,Fig3C,Directly extracted
37,,,,0.90 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,0.76 , glucosamine or glucose-C g-I soil (自己计算),24 h,5.00 ,,,5 oC,,6.10 ,,,0.01 ,Fig3C,Directly extracted
38,,,,0.89 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,0.76 , glucosamine or glucose-C g-I soil (自己计算),24 h,10.00 ,,,10 oC,,6.10 ,,,0.01 ,Fig3C,Directly extracted
39,,,,0.88 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,0.76 , glucosamine or glucose-C g-I soil (自己计算),24 h,15.00 ,,,15 oC,,6.10 ,,,0.01 ,Fig3C,Directly extracted
40,,,,0.96 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,0.76 , glucosamine or glucose-C g-I soil (自己计算),24 h,1.00 ,Biomass-based methods,Dystric Gleysol(soil type),1 oC,,5.80 ,,,0.01 ,Fig3C,Directly extracted
41,,,,0.93 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,0.76 , glucosamine or glucose-C g-I soil (自己计算),24 h,5.00 ,,,5 oC,,5.80 ,,,0.01 ,Fig3C,Directly extracted
42,,,,0.92 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,0.76 , glucosamine or glucose-C g-I soil (自己计算),24 h,10.00 ,,,10 oC,,5.80 ,,,0.01 ,Fig3C,Directly extracted
43,,,,0.93 ,10,Grasslands,53.23 ,-4.02 ,10.30 ,1060.00 ,glucosamine,,4.00 ,glucose,glucose,0.76 , glucosamine or glucose-C g-I soil (自己计算),24 h,15.00 ,,,15 oC,,5.80 ,,,0.01 ,Fig3C,Directly extracted
44,Blagodatskaya,Microbial Growth and Carbon Use Efficiency in the Rhizosphere and Root-Free Soil,"Institute of Agroecology (FAL, Braunschweig, Germany)",0.41 ,12,Croplands,52.27 ,10.52 ,8.81 ,51.83 ,glucose,,4.00 ,glucose,glucose,10.00 ,mg g-1,0-12.5 h,22.00 ,Biomass-based methods,,Rhizosphere,,6.70 ,,0.04 ,,Table3,Directly extracted
45,,,,0.23 ,12,Croplands,52.27 ,10.52 ,8.81 ,51.83 ,glucose,,4.00 ,glucose,glucose,10.00 ,,12.5-25.5h,22.00 ,Biomass-based methods,,Rhizosphere,,6.70 ,,0.02 ,,Table3,Directly extracted
46,,,,0.22 ,12,Croplands,52.27 ,10.52 ,8.81 ,51.83 ,glucose,,4.00 ,glucose,glucose,10.00 ,,25.5-36.5h,22.00 ,Biomass-based methods,,Rhizosphere,,6.70 ,,0.04 ,,Table3,Directly extracted
47,,,,0.39 ,12,Croplands,52.27 ,10.52 ,8.81 ,51.83 ,glucose,,4.00 ,glucose,glucose,10.00 ,,0-12.5 h,22.00 ,Biomass-based methods,,Root-free soil,,6.70 ,,0.05 ,,Table3,Directly extracted
48,,,,0.35 ,12,Croplands,52.27 ,10.52 ,8.81 ,51.83 ,glucose,,4.00 ,glucose,glucose,10.00 ,,12.5-25.5h,22.00 ,Biomass-based methods,,Root-free soil,,6.70 ,,0.07 ,,Table3,Directly extracted
49,,,,0.17 ,12,Croplands,52.27 ,10.52 ,8.81 ,51.83 ,glucose,,4.00 ,glucose,glucose,10.00 ,,25.5-36.5h,22.00 ,Biomass-based methods,,Root-free soil,,6.70 ,,0.06 ,,Table3,Directly extracted
50,Ågren,Combining theory and experiment to understand effects of inorganic nitrogen on litter decomposition,"Harvard Forest, in central Massachusetts (42 300 N,72 100 W), ",0.18 ,5,Mixed Forests,42.50 ,-72.17 ,7.00 ,1120.00 ,tree litter,,,high-molecular compound,residue,,,6480h,,Substrate-based,0.00 ,,,,,,0.01 ,Table1,Directly extracted
51,,,,0.21 ,5,Mixed Forests,42.50 ,-72.17 ,7.00 ,1120.00 ,tree litter,,,high-molecular compound,residue,,,6480h,,,5 g N·m−2·yr−1,,,,,,0.01 ,Table1,Directly extracted
52,,,,0.27 ,5,Mixed Forests,42.50 ,-72.17 ,7.00 ,1120.00 ,tree litter,,,high-molecular compound,residue,,,6480h,,,15.00 ,,,,,,0.01 ,Table1,Directly extracted
53,,,,0.20 ,1,Evergreen Needleleaf Forest,42.50 ,-72.17 ,7.00 ,1120.00 ,tree litter,,,high-molecular compound,residue,,,6480h,,,average,pine,,,,,0.01 ,Table1,Directly extracted
54,,,,0.23 ,2,Evergreen Broadleaf Forest,42.50 ,-72.17 ,7.00 ,1120.00 ,tree litter,,,high-molecular compound,residue,,,6480h,,,,hardwood,,,,,0.01 ,Table1,Directly extracted
55,Yu Liu,Interaction between catabolism and anabolism in the oxidative assimilation of dissolved organic carbon,not mentioned,0.80 ,,,1.00 ,1.00 ,,,Glucose,,4.00 ,glucose,glucose,,,,,Biomass-based methods,,,,,,,,Table1,Directly extracted
56,,,,0.71 ,,,1.00 ,1.00 ,,,Fructose,,4.00 ,glucose,glucose,,,,,,,,,,,,,Table1,Directly extracted
57,,,,0.72 ,,,1.00 ,1.00 ,,,Sucrose,,4.00 ,glucose,glucose,,,,,,,,,,,,,Table1,Directly extracted
58,,,,0.71 ,,,1.00 ,1.00 ,,,Lactose,,4.00 ,glucose,glucose,,,,,,,,,,,,,Table1,Directly extracted
59,,,,0.63 ,,,1.00 ,1.00 ,,,Xylose,,4.00 ,glucose,glucose,,,,,,,,,,,,,Table1,Directly extracted
60,,,,0.38 ,,,1.00 ,1.00 ,,,Glycine,,3.00 ,organic acid,amino acid,,,,,,,,,,,,,Table1,Directly extracted
61,,,,0.53 ,,,1.00 ,1.00 ,,,Alanine,,4.00 ,organic acid,amino acid,,,,,,,,,,,,,Table1,Directly extracted
62,,,,0.48 ,,,1.00 ,1.00 ,,,Glutamic acid,,3.60 ,organic acid,amino acid,,,,,,,,,,,,,Table1,Directly extracted
63,,,,0.55 ,,,1.00 ,1.00 ,,,Phenylalanine,,4.40 ,organic acid,amino acid,,,,,,,,,,,,,Table1,Directly extracted
64,,,,0.53 ,,,1.00 ,1.00 ,,,Acetic acid,,4.00 ,organic acid,other organic acid,,,,,,,,,,,,,Table1,Directly extracted
65,,,,0.63 ,,,1.00 ,1.00 ,,,Propionic acid,,4.67 ,organic acid,other organic acid,,,,,,,,,,,,,Table1,Directly extracted
66,,,,0.84 ,,,1.00 ,1.00 ,,,Butyric acid,,5.00 ,organic acid,other organic acid,,,,,,,,,,,,,Table1,Directly extracted
67,,,,0.78 ,,,1.00 ,1.00 ,,,Butanol,,6.00 ,organic acid,other organic acid,,,,,,,,,,,,,Table1,Directly extracted
68,,,,0.46 ,,,1.00 ,1.00 ,,,Benzoic acid,,4.29 ,organic acid,other organic acid,,,,,,,,,,,,,Table1,Directly extracted
69,Chotte,"Sites of microbial assimilation, and turnover of soluble and particulate 14C-labelled substrates decomposing in a clay soil"," Northfield, South Australia",0.58 ,2,Evergreen Broadleaf Forest,-34.86 ,138.62 ,16.30 ,46.00 ,glucose,,4.00 ,glucose,glucose,,,3d,25.00 ,,glucose,,,,,,,Table4,Directly extracted
70,,,,0.64 ,2,Evergreen Broadleaf Forest,-34.86 ,138.62 ,16.30 ,46.00 ,glucose,,4.00 ,glucose,glucose,,,38d,25.00 ,,glucose,,,,,,,Table4,Directly extracted
71,,,,0.30 ,2,Evergreen Broadleaf Forest,-34.86 ,138.62 ,16.30 ,46.00 ,glucose,,4.00 ,glucose,glucose,I m g C g-1,,66d,25.00 ,Biomass-based methods,glucose,,,,,,,Table4,Directly extracted
72,,,,0.64 ,2,Evergreen Broadleaf Forest,-34.86 ,138.62 ,16.30 ,46.00 ,starch,(C6H10O5)n,4.00 ,glucose,glucose,,,3d,25.00 ,,starch,,,,,,,Table4,Directly extracted
73,,,,0.44 ,2,Evergreen Broadleaf Forest,-34.86 ,138.62 ,16.30 ,46.00 ,starch,(C6H10O5)n,4.00 ,glucose,glucose,,,38d,25.00 ,,starch,,,,,,,Table4,Directly extracted
74,,,,0.23 ,2,Evergreen Broadleaf Forest,-34.86 ,138.62 ,16.30 ,46.00 ,starch,(C6H10O5)n,4.00 ,glucose,glucose,,,66d,25.00 ,,starch,,,,,,,Table4,Directly extracted
75,,,,0.56 ,2,Evergreen Broadleaf Forest,-34.86 ,138.62 ,16.30 ,46.00 ,legume,,,high-molecular compound,residue,,,3d,25.00 ,,legume,,,,,,,Table4,Directly extracted
76,,,,0.28 ,2,Evergreen Broadleaf Forest,-34.86 ,138.62 ,16.30 ,46.00 ,legume,,,high-molecular compound,residue,,,38d,25.00 ,,legume,,,,,,,Table4,Directly extracted
77,,,,0.18 ,2,Evergreen Broadleaf Forest,-34.86 ,138.62 ,16.30 ,46.00 ,legume,,,high-molecular compound,residue,,,66d,25.00 ,,legume,,,,,,,Table4,Directly extracted
78,,,,0.63 ,2,Evergreen Broadleaf Forest,-34.86 ,138.62 ,16.30 ,46.00 ,wheat,,,high-molecular compound,residue,,,3d,25.00 ,,wheat,,,,,,,Table4,Directly extracted
79,,,,0.30 ,2,Evergreen Broadleaf Forest,-34.86 ,138.62 ,16.30 ,46.00 ,wheat,,,high-molecular compound,residue,,,38d,25.00 ,,wheat,,,,,,,Table4,Directly extracted
80,,,,0.19 ,2,Evergreen Broadleaf Forest,-34.86 ,138.62 ,16.30 ,46.00 ,wheat,,,high-molecular compound,residue,,,66d,25.00 ,,wheat,,,,,,,Table4,Directly extracted
81,Farrell,Biochar differentially affects the cycling and partitioning of low molecular weight carbon in contrasting soils,"Wongan Hills Research Station (30o 89' S,
116o 72' E)原文献中经纬度表示错误",0.89 ,12,Croplands,-30.90 ,116.72 ,18.37 ,32.08 ,glucose,,4.00 ,glucose,glucose,2 kBq mL-1) was added to 5 g fresh soil,,7d,22.00 ,Uptake-based methods,,glucose,,7.02 ,13.90 ,,0.01 ,Fig5,Directly extracted
82,,,,0.79 ,12,Croplands,-30.90 ,116.72 ,18.37 ,32.08 ,fructose,,4.00 ,glucose,glucose,,,7d,22.00 ,Uptake-based methods,,fructose,,7.02 ,13.90 ,,0.01 ,Fig5,Directly extracted
83,,,,0.82 ,12,Croplands,-30.90 ,116.72 ,18.37 ,32.08 ,sucrose,,4.00 ,glucose,glucose,,,7d,22.00 ,Uptake-based methods,,sucrose,,7.02 ,13.90 ,,0.01 ,Fig5,Directly extracted
84,,,,0.39 ,12,Croplands,-30.90 ,116.72 ,18.37 ,32.08 ,oxalate,,1.00 ,organic acid,other organic acid,,,7d,22.00 ,Uptake-based methods,,oxalate,,7.02 ,13.90 ,,0.07 ,Fig5,Directly extracted
85,,,,0.69 ,12,Croplands,-30.90 ,116.72 ,18.37 ,32.08 ,phenylalanine,,4.40 ,organic acid,amino acid,,,7d,22.00 ,Uptake-based methods,,phenylalanine,,7.02 ,13.90 ,,0.01 ,Fig5,Directly extracted
86,,,"New South Wales Department of Primary Industries Wollongbar Research Station (28o 12' S,
150o 06' E)",0.95 ,10,Grasslands,-28.20 ,150.10 ,19.70 ,52.67 ,glucose,,4.00 ,glucose,glucose,2 kBq mL-1) was added to 5 g fresh soil,,7d,22.00 ,Uptake-based methods,,glucose,,7.13 ,15.80 ,,0.01 ,Fig5,Directly extracted
87,,,,0.81 ,10,Grasslands,-28.20 ,150.10 ,19.70 ,52.67 ,fructose,,4.00 ,glucose,glucose,,,7d,22.00 ,Uptake-based methods,,fructose,,7.13 ,15.80 ,,0.01 ,Fig5,Directly extracted
88,,,,0.87 ,10,Grasslands,-28.20 ,150.10 ,19.70 ,52.67 ,sucrose,,4.00 ,glucose,glucose,,,7d,22.00 ,Uptake-based methods,,sucrose,,7.13 ,15.80 ,,0.01 ,Fig5,Directly extracted
89,,,,0.53 ,10,Grasslands,-28.20 ,150.10 ,19.70 ,52.67 ,oxalate,,1.00 ,organic acid,other organic acid,,,7d,22.00 ,Uptake-based methods,,oxalate,,7.13 ,15.80 ,,0.08 ,Fig5,Directly extracted
90,,,,0.89 ,10,Grasslands,-28.20 ,150.10 ,19.70 ,52.67 ,phenylalanine,,4.40 ,organic acid,amino acid,,,7d,22.00 ,Uptake-based methods,,phenylalanine,,7.13 ,15.80 ,,0.01 ,Fig5,Directly extracted
91,,,"Hermitage Research Station in Queensland (28o 29' S, 153o 14' E)",0.94 ,5,Mixed Forests,-28.48 ,153.23 ,18.97 ,137.75 ,glucose,,4.00 ,glucose,glucose,2 kBq mL-1) was added to 5 g fresh soil,,7d,22.00 ,Uptake-based methods,,glucose,,4.95 ,10.90 ,,0.01 ,Fig5,Directly extracted
92,,,,0.83 ,5,Mixed Forests,-28.48 ,153.23 ,18.97 ,137.75 ,fructose,,4.00 ,glucose,glucose,,,7d,22.00 ,Uptake-based methods,,fructose,,4.95 ,10.90 ,,0.01 ,Fig5,Directly extracted
93,,,,0.85 ,5,Mixed Forests,-28.48 ,153.23 ,18.97 ,137.75 ,sucrose,,4.00 ,glucose,glucose,,,7d,22.00 ,Uptake-based methods,,sucrose,,4.95 ,10.90 ,,0.01 ,Fig5,Directly extracted
94,,,,0.33 ,5,Mixed Forests,-28.48 ,153.23 ,18.97 ,137.75 ,oxalate,,1.00 ,organic acid,other organic acid,,,7d,22.00 ,Uptake-based methods,,oxalate,,4.95 ,10.90 ,,0.02 ,Fig5,Directly extracted
95,,,,0.81 ,5,Mixed Forests,-28.48 ,153.23 ,18.97 ,137.75 ,phenylalanine,,4.40 ,organic acid,amino acid,,,7d,22.00 ,Uptake-based methods,,phenylalanine,,4.95 ,10.90 ,,0.02 ,Fig5,Directly extracted
96,Fierer,Effects of drying-rewetting frequency on soil carbon and nitrogen transformations,"Santa Ynez (34o42'30''N, 120o2'30''W)",0.64 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,1 uCi ml-1 to 5 g soil,,24h,20.00 ,,Oak soil,35%WHC (1d),,6.00 ,,,,Fig9,Eq. 3
97,,,,0.67 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,35%WHC unstressed,,6.00 ,,,,Fig9,Eq. 3
98,,,,0.62 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,50%WHC (1d),,6.00 ,,,,Fig9,Eq. 3
99,,,,0.64 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,50%WHC unstressed,,6.00 ,,,,Fig9,Eq. 3
100,,,,0.60 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:1(1d),,6.00 ,,,,Fig9,Eq. 3
101,,,,0.64 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:1(7d),,6.00 ,,,,Fig9,Eq. 3
102,,,,0.59 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:2(1d),,6.00 ,,,,Fig9,Eq. 3
103,,,,0.66 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:2(7d),,6.00 ,,,,Fig9,Eq. 3
104,,,,0.59 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:6(1d),,6.00 ,,,,Fig9,Eq. 3
105,,,,0.70 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:6(7d),,6.00 ,,,,Fig9,Eq. 3
106,,,,0.60 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:15(1d),,6.00 ,,,,Fig9,Eq. 3
107,,,,0.67 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:15(7d),,6.00 ,,,,Fig9,Eq. 3
108,,,,0.62 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,Grass soil,35%WHC (1d),,6.50 ,,,,Fig9,Eq. 3
109,,,,0.59 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,35%WHC unstressed,,6.50 ,,,,Fig9,Eq. 3
110,,,,0.62 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,50%WHC (1d),,6.50 ,,,,Fig9,Eq. 3
111,,,,0.57 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,50%WHC unstressed,,6.50 ,,,,Fig9,Eq. 3
112,,,,0.61 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:1(1d),,6.50 ,,,,Fig9,Eq. 3
113,,,,0.60 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:1(7d),,6.50 ,,,,Fig9,Eq. 3
114,,,,0.59 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:2(1d),,6.50 ,,,,Fig9,Eq. 3
115,,,,0.59 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:2(7d),,6.50 ,,,,Fig9,Eq. 3
116,,,,0.62 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:6(1d),,6.50 ,,,,Fig9,Eq. 3
117,,,,0.60 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:6(7d),,6.50 ,,,,Fig9,Eq. 3
118,,,,0.62 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:15(1d),,6.50 ,,,,Fig9,Eq. 3
